model,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
TF-IDF + Logistic Regression,0.8633165829145729,0.7429254484492075,0.8557788944723618,0.7248522250781787
DistilBERT-Frozen,0.7592964824120603,0.6135294009972118,0.7743718592964824,0.6187401182799871
DistilBERT-Finetuned,0.8628140703517588,0.7304919939777313,0.8648241206030151,0.7326529501599642
